Project_Accession,Total_Attributes
PRJNA852208,10533
PRJEB15671,8315
PRJEB25079,6986
PRJNA945404,6909
PRJEB19252,4882
PRJNA236110,4655
PRJNA808745,3479
PRJNA368916,2724
PRJNA358059,2516
PRJNA666631,2503
PRJNA475542,2359
PRJNA817215,2276
PRJNA989636,2207
PRJNA915364,1995
PRJNA504621,1929
PRJNA483458,1732
PRJNA302221,1672
PRJNA770533,1661
PRJNA515610,1595
PRJNA611770,1537
PRJNA638728,1517
PRJNA841954,1460
PRJNA663790,1440
PRJNA900135,1440
PRJNA779072,1429
PRJNA382136,1407
PRJNA615216,1305
PRJNA224705,1289
PRJNA551415,1267
PRJNA378644,1223
PRJNA689309,1159
PRJNA727531,1159
PRJNA871888,1114
PRJNA545612,1114
PRJNA792010,1111
PRJNA691022,1087
PRJNA419306,1073
PRJNA641096,1042
PRJNA429659,1021
PRJNA481720,1016
PRJNA730903,1010
PRJNA1014093,1001
PRJNA874688,999
PRJNA737113,995
PRJNA493616,991
PRJNA938512,976
PRJNA566089,967
PRJNA544417,943
PRJNA478998,943
PRJNA630258,936
PRJNA575019,907
PRJNA628644,903
PRJNA625566,903
PRJNA497989,901
PRJNA612487,858
PRJNA311764,848
PRJNA506000,847
PRJNA477936,847
PRJNA745095,845
PRJNA287627,843
PRJNA545832,835
PRJNA588176,819
PRJNA916484,817
PRJNA318880,809
PRJNA695076,803
PRJNA639173,791
PRJNA1096312,787
PRJNA560779,775
PRJNA636648,763
PRJNA476754,757
PRJNA1020877,744
PRJNA513321,736
PRJNA525997,735
PRJNA549850,735
PRJNA534240,727
PRJNA622644,727
PRJNA649955,709
PRJNA602947,709
PRJNA705878,705
PRJNA791625,703
PRJNA672885,699
PRJNA940403,696
PRJNA613493,691
PRJNA231088,687
PRJNA677963,685
PRJNA508267,680
PRJNA991926,679
PRJNA615658,679
PRJNA601783,667
PRJNA529391,665
PRJEB33535,660
PRJNA316697,643
PRJNA665466,637
PRJNA874053,637
PRJNA662710,631
PRJNA681862,631
PRJNA660479,631
PRJNA947662,631
PRJNA222364,626
PRJNA544694,587
PRJNA808090,583
PRJNA416120,579
PRJNA377549,567
PRJNA167620,566
PRJNA977970,561
PRJNA301684,561
PRJNA1020153,553
PRJNA715469,553
PRJNA277424,553
PRJNA912622,548
PRJNA609342,547
PRJNA640389,539
PRJNA551115,536
PRJNA981637,533
PRJNA476778,532
PRJNA716051,527
PRJNA477359,519
PRJNA641025,519
PRJNA935771,517
PRJNA511620,516
PRJNA717313,515
PRJNA362953,513
PRJNA700573,513
PRJNA716276,512
PRJNA716659,511
PRJNA661316,511
PRJNA970811,511
PRJNA642797,511
PRJNA802649,511
PRJNA818647,511
PRJNA877346,509
PRJNA169667,503
PRJNA382583,503
PRJNA427134,503
PRJNA893217,488
PRJNA811184,476
PRJNA245920,475
PRJNA767415,475
PRJNA445300,475
PRJNA369265,475
PRJEB36508,475
PRJNA725493,475
PRJNA837279,475
PRJNA855120,467
PRJNA320769,462
PRJNA806968,456
PRJNA314105,455
PRJNA934345,455
PRJNA560053,453
PRJNA473317,451
PRJNA213000,443
PRJNA837772,442
PRJNA764922,442
PRJNA406971,441
PRJNA548919,441
PRJNA434094,439
PRJNA756203,436
PRJNA716808,430
PRJNA251351,430
PRJNA831274,427
PRJNA1013559,421
