Project_Accession,Total_Attributes,Alias,dee2_url,has_dee2
PRJNA852208,10533,SRP383392,,False
PRJEB15671,8315,ERP017503,,False
PRJEB25079,6986,ERP106963,https://dee2.io/huge/athaliana/ERP106963_NA.zip,True
PRJNA945404,6909,SRP427656,https://dee2.io/huge/athaliana/SRP427656_GSE227500.zip,True
PRJEB19252,4882,ERP021242,,False
PRJNA236110,4655,SRP035593,,False
PRJNA808745,3479,SRP360684,https://dee2.io/huge/athaliana/SRP360684_GSE197063.zip,True
PRJNA368916,2724,SRP097877,https://dee2.io/huge/athaliana/SRP097877_GSE94107.zip,True
PRJNA358059,2516,SRP095347,https://dee2.io/huge/athaliana/SRP095347_GSE92568.zip,True
PRJNA666631,2503,SRP285902,https://dee2.io/huge/athaliana/SRP285902_GSE158809.zip,True
PRJNA475542,2359,SRP150217,https://dee2.io/huge/athaliana/SRP150217_GSE115583.zip,True
PRJNA817215,2276,SRP364447,,False
PRJNA989636,2207,SRP446862,https://dee2.io/huge/athaliana/SRP446862_GSE236290.zip,True
PRJNA915364,1995,SRP414670,https://dee2.io/huge/athaliana/SRP414670_GSE221679.zip,True
PRJNA504621,1929,SRP168223,https://dee2.io/huge/athaliana/SRP168223_GSE122314.zip,True
PRJNA483458,1732,SRP155742,https://dee2.io/huge/athaliana/SRP155742_GSE117857.zip,True
PRJNA302221,1672,SRP066214,https://dee2.io/huge/athaliana/SRP066214_GSE75016.zip,True
PRJNA770533,1661,SRP340951,,False
PRJNA515610,1595,SRP179923,https://dee2.io/huge/athaliana/SRP179923_GSE125230.zip,True
PRJNA611770,1537,SRP252208,https://dee2.io/huge/athaliana/SRP252208_GSE146723.zip,True
PRJNA638728,1517,SRP266864,https://dee2.io/huge/athaliana/SRP266864_GSE152249.zip,True
PRJNA841954,1460,SRP376838,https://dee2.io/huge/athaliana/SRP376838_GSE204681.zip,True
PRJNA663790,1440,SRP282567,https://dee2.io/huge/athaliana/SRP282567_GSE158027.zip,True
PRJNA900135,1440,SRP407150,,False
PRJNA779072,1429,SRP345289,https://dee2.io/huge/athaliana/SRP345289_GSE188493.zip,True
PRJNA382136,1407,SRP103736,https://dee2.io/huge/athaliana/SRP103736_GSE97500.zip,True
PRJNA615216,1305,SRP254043,,False
PRJNA224705,1289,SRP031910,https://dee2.io/huge/athaliana/SRP031910_GSE51720.zip,True
PRJNA551415,1267,SRP212174,https://dee2.io/huge/athaliana/SRP212174_GSE133408.zip,True
PRJNA378644,1223,SRP101641,https://dee2.io/huge/athaliana/SRP101641_GSE96041.zip,True
PRJNA689309,1159,SRP300093,,False
