Project_Accession,Total_Attributes,Alias,dee2_url,has_dee2,Curator,URL,is_curated,is_in_Benchmark
PRJEB25079,6986,ERP106963,https://dee2.io/huge/athaliana/ERP106963_NA.zip,TRUE,Kevin,https://git.nfdi4plants.org/insdc_curation/PRJEB25079,,
PRJNA358059,2516,SRP095347,https://dee2.io/huge/athaliana/SRP095347_GSE92568.zip,TRUE,Kevin,https://git.nfdi4plants.org/insdc_curation/PRJNA358059,,
PRJNA382136,1407,SRP103736,https://dee2.io/huge/athaliana/SRP103736_GSE97500.zip,TRUE,Kevin,https://git.nfdi4plants.org/insdc_curation/PRJNA382136,,
PRJNA475542,2359,SRP150217,https://dee2.io/huge/athaliana/SRP150217_GSE115583.zip,TRUE,Kevin,https://git.nfdi4plants.org/insdc_curation/PRJNA475542,,
PRJNA483458,1732,SRP155742,https://dee2.io/huge/athaliana/SRP155742_GSE117857.zip,TRUE,Kevin,https://git.nfdi4plants.org/insdc_curation/PRJNA483458,,
PRJNA515610,1595,SRP179923,https://dee2.io/huge/athaliana/SRP179923_GSE125230.zip,TRUE,Kevin,https://git.nfdi4plants.org/insdc_curation/PRJNA515610,,
PRJNA638728,1517,SRP266864,https://dee2.io/huge/athaliana/SRP266864_GSE152249.zip,TRUE,Kevin,https://git.nfdi4plants.org/insdc_curation/PRJNA638728,,
PRJNA663790,1440,SRP282567,https://dee2.io/huge/athaliana/SRP282567_GSE158027.zip,TRUE,Kevin,https://git.nfdi4plants.org/insdc_curation/PRJNA663790,,
PRJNA808745,3479,SRP360684,https://dee2.io/huge/athaliana/SRP360684_GSE197063.zip,TRUE,Kevin,https://git.nfdi4plants.org/insdc_curation/PRJNA808745,,
PRJNA915364,1995,SRP414670,https://dee2.io/huge/athaliana/SRP414670_GSE221679.zip,TRUE,Kevin,https://git.nfdi4plants.org/insdc_curation/PRJNA915364,,
PRJEB22060,29963,ERP024386,,FALSE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJEB22060,TRUE,TRUE
PRJEB24450,8066,ERP106277,,FALSE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJEB24450,TRUE,TRUE
PRJEB27774,24382,ERP109898 ,,FALSE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJEB27774,TRUE,TRUE
PRJNA890893,18167,SRP402832,,FALSE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA890893,TRUE,TRUE
PRJEB33339,1922,ERP116123,https://dee2.io/huge/athaliana/ERP116123_NA.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJEB33339,TRUE,TRUE
PRJNA1014093,1001,SRP459156,https://dee2.io/huge/athaliana/SRP459156_GSE242681.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA1014093,,
PRJNA1033576,3679,SRP469232,https://dee2.io/huge/athaliana/SRP469232_GSE246527.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA1033576,TRUE,TRUE
PRJNA1096619,1231,SRP499919,https://dee2.io/huge/athaliana/SRP499919_GSE263276.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA1096619,TRUE,TRUE
PRJNA224705,1289,SRP031910,https://dee2.io/huge/athaliana/SRP031910_GSE51720.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA224705,,
PRJNA302221,1672,SRP066214,https://dee2.io/huge/athaliana/SRP066214_GSE75016.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA302221,,
PRJNA313379,6076,SRP070918,https://dee2.io/huge/athaliana/SRP070918_GSE78735.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA313379,TRUE,TRUE
PRJNA368916,2724,SRP097877,https://dee2.io/huge/athaliana/SRP097877_GSE94107.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA368916,,
PRJNA378644,1223,SRP101641,https://dee2.io/huge/athaliana/SRP101641_GSE96041.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA378644,,
PRJNA419306,1073,SRP125388,https://dee2.io/huge/athaliana/SRP125388_GSE107203.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA419306,,
PRJNA429659,1021,SRP128933,https://dee2.io/huge/athaliana/SRP128933_GSE109115.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA429659,,
PRJNA478998,943,SRP151817,https://dee2.io/huge/athaliana/SRP151817_GSE116553.zip,TRUE,Emre,https://git.nfdi4plants.org/insdc_curation/PRJNA478998,,
